node,prob
Member._random_id,0.188
Book.__init__,0.135
book.py,0.126
Book.__str__,0.066
Library.__init__,0.065
main.py,0.064
Member.__str__,0.061
Library.add_member,0.036
Library.remove_book,0.033
member.py,0.033
Member.__init__,0.03
Library.borrow_book,0.03
Library.add_book,0.028
library.py,0.028
Book.__del__,0.028
Library.return_book,0.025
Library.remove_member,0.024
