node,prob
member.py,0.192
main.py,0.182
Member._random_id,0.109
book.py,0.097
Library.__init__,0.088
Book.__str__,0.059
Member.__str__,0.059
library.py,0.058
Library.borrow_book,0.033
Library.add_member,0.026
Library.remove_member,0.025
Library.add_book,0.022
Library.return_book,0.014
Book.__init__,0.009
Book.__del__,0.009
Member.__init__,0.009
Library.remove_book,0.009
