node,prob
Member._random_id,0.204
Book.__str__,0.168
Member.__str__,0.117
book.py,0.097
Library.__init__,0.072
member.py,0.052
main.py,0.046
Book.__init__,0.044
Book.__del__,0.044
Member.__init__,0.031
library.py,0.02
Library.remove_member,0.019
Library.add_book,0.019
Library.remove_book,0.019
Library.add_member,0.019
Library.return_book,0.015
Library.borrow_book,0.015
