node,prob
book.py,0.242
Book.__del__,0.09
Book.__init__,0.09
Book.__str__,0.09
member.py,0.09
Member._random_id,0.086
Member.__init__,0.047
Member.__str__,0.047
library.py,0.027
Library.add_member,0.024
Library.__init__,0.024
Library.add_book,0.024
Library.return_book,0.024
Library.remove_member,0.024
Library.remove_book,0.024
Library.borrow_book,0.024
main.py,0.021
