node,prob
book.py,0.329
Book.__init__,0.294
Member._random_id,0.066
Member.__init__,0.061
member.py,0.055
library.py,0.02
Library.add_book,0.019
Library.add_member,0.017
Library.borrow_book,0.017
Library.return_book,0.017
Library.remove_book,0.017
Library.remove_member,0.015
Library.__init__,0.015
Book.__str__,0.014
Book.__del__,0.014
Member.__str__,0.014
main.py,0.014
